state,regular,mid-grade,premium,diesel
ak,2.53,2.64,2.8,2.42
al,1.9,2.23,2.56,2.29
ar,1.89,2.17,2.47,2.16
az,2.35,2.63,2.88,2.5
ca,3.14,3.32,3.44,3.34
co,2.46,2.78,3.07,2.29
ct,2.2,2.55,2.77,2.74
dc,2.34,2.8,2.93,2.83
de,2.22,2.61,2.84,2.45
fl,2.07,2.42,2.72,2.4
ga,2.01,2.33,2.64,2.5
hi,3.23,3.42,3.66,4.0
ia,2.08,2.24,2.63,2.22
id,2.35,2.51,2.7,2.3
il,2.38,2.72,3.12,2.42
in,2.15,2.47,2.8,2.49
ks,1.98,2.23,2.46,2.13
ky,2.02,2.35,2.67,2.31
la,1.86,2.17,2.48,2.25
ma,2.14,2.48,2.69,2.64
md,2.26,2.69,2.92,2.49
me,2.2,2.52,2.78,2.54
mi,2.18,2.5,2.83,2.43
mn,2.08,2.32,2.62,2.35
mo,1.92,2.18,2.44,2.02
ms,1.84,2.13,2.46,2.14
mt,2.22,2.42,2.7,2.19
nc,2.0,2.35,2.67,2.39
nd,2.1,2.3,2.53,2.16
ne,2.12,2.24,2.6,2.22
nh,2.12,2.49,2.75,2.54
nj,2.19,2.57,2.75,2.53
nm,2.06,2.38,2.63,2.37
nv,2.64,2.84,3.02,2.61
ny,2.27,2.59,2.82,2.83
oh,2.11,2.44,2.78,2.43
ok,1.92,2.16,2.36,2.03
or,2.66,2.84,3.01,2.62
pa,2.43,2.74,3.02,2.78
ri,2.14,2.5,2.71,2.7
sc,1.92,2.25,2.57,2.23
sd,2.15,2.26,2.59,2.24
tn,1.93,2.26,2.58,2.32
tx,1.91,2.23,2.52,2.1
ut,2.28,2.44,2.61,2.23
va,2.0,2.38,2.67,2.38
vt,2.17,2.52,2.79,2.52
wa,2.8,3.01,3.16,2.74
wi,2.09,2.44,2.81,2.17
wv,2.18,2.46,2.75,2.42
wy,2.16,2.37,2.61,2.35
